영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121841,서울특별시 마포구 서교동 490번지 ,서울특별시 마포구 양화로 45 (서교동 메세나폴리스 B1105호),서울 마포구 양화로,4036,더심플한테이블,I,2018-08-31 23:59,한식
1,영업/정상,영업,,121900,서울특별시 마포구 망원동 484-2,서울특별시 마포구 월드컵로 103-1 2층 (망원동),서울 마포구 월드컵로,4011,호랑이라운지,U,2020-10-30 22:07,일식
1,영업/정상,영업,,121808,서울특별시 마포구 대흥동 12-41번지 지1층 B04호,서울특별시 마포구 신촌로 160 지1층 B04호 (대흥동),서울 마포구 신촌로,4104,웰메이드수제도시락,I,2018-08-31 23:59,김밥(도시락)
1,영업/정상,영업,,121875,서울특별시 마포구 용강동 51-8번지 ,서울특별시 마포구 토정로 320 (용강동 3층일부),서울 마포구 토정로,4165,스테이크바이앵거스,I,2018-08-31 23:59,경양식
1,영업/정상,영업,23335751,121839,서울특별시 마포구 서교동 480-23번지 ,서울특별시 마포구 동교로 104 1층 (서교동),서울 마포구 동교로,4029,핫썬치킨하우스,U,2019-11-28 2:40,패스트푸드
1,영업/정상,영업,,121130,서울특별시 마포구 구수동 57-7번지 ,서울특별시 마포구 창전로 46 1층 (구수동),서울 마포구 창전로,4087,차돌집,I,2018-08-31 23:59,일식
1,영업/정상,영업,,121842,서울특별시 마포구 서교동 468-15번지 ,서울특별시 마포구 동교로15길 34 (서교동 1층 일부),서울 마포구 동교로15길,4003,길모퉁이칠리차차,I,2018-08-31 23:59,중국식
1,영업/정상,영업,,121884,서울특별시 마포구 합정동 362-11번지 ,서울특별시 마포구 독막로8길 12 (합정동 1층),서울 마포구 독막로8길,4072,맛짱초밥,I,2018-08-31 23:59,일식
1,영업/정상,영업,23087805,121830,서울특별시 마포구 상암동 17-7번지 ,서울특별시 마포구 월드컵북로44길 46 지하1층 (상암동),서울 마포구 월드컵북로44길,3930,라이브 카페,U,2019-11-01 2:40,경양식
1,영업/정상,영업,,121811,서울특별시 마포구 대흥동 803번지 ,서울특별시 마포구 대흥로 79 (대흥동 동양엔파트상가 지하1층 107호),서울 마포구 대흥로,4110,마포 야시장,U,2019-10-26 2:40,호프/통닭
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 81-59번지 ,서울특별시 마포구 서강로16길 69 (신수동 1층),서울 마포구 서강로16길,4109,주미랑고추장불고기,I,2018-08-31 23:59,한식
