영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 41-29번지 지상2층 ,서울특별시 마포구 월드컵북로50길 5 (상암동 지상2층),서울 마포구 월드컵북로50길,3927,오시오건강밥상,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-40,서울특별시 마포구 와우산로21길 28-8 1층 (서교동),서울 마포구 와우산로21길,4040,오십그램,U,2019.10.30 22:09,기타
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 347-6번지 2층 ,서울특별시 마포구 어울마당로 136-16 2층 (서교동),서울 마포구 어울마당로,4053,50픽,I,2018.8.31 23:59,기타
1,영업/정상,영업,,121887,서울특별시 마포구 합정동 433-29,서울특별시 마포구 포은로 54 1층 가운데호 (합정동),서울 마포구 포은로,4021,오아시스 망원,I,2020.10.31 22:06,기타
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 34-79,서울특별시 마포구 월드컵북로 338 1층 101~102호 (상암동),서울 마포구 월드컵북로,3930,오야스시,I,2019.10.30 23:00,일식
1,영업/정상,영업,,121818,서울특별시 마포구 동교동 180-8번지 ,서울특별시 마포구 신촌로 44 1층 (동교동),서울 마포구 신촌로,4056,오오키이,I,2019.5.1 2:20,양식
1,영업/정상,영업,,121819,서울특별시 마포구 동교동 203-56번지 1층일부 ,서울특별시 마포구 월드컵북로6길 26 (동교동 1층일부),서울 마포구 월드컵북로6길,3992,오우,I,2018.8.31 23:59,한식
1,영업/정상,영업,27140313,121801,서울특별시 마포구 공덕동 118-28번지 1층 ,서울특별시 마포구 마포대로14길 22 (공덕동1층),서울 마포구 마포대로14길,4210,오원집 공덕본점,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121869,서울특별시 마포구 연남동 567-39번지 1층 ,서울특별시 마포구 월드컵북로6길 93 1층 (연남동),서울 마포구 월드컵북로6길,3990,52nd Street,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 383-82번지 신박사빌딩 1층일부 ,서울특별시 마포구 동교로46길 42-5 (연남동 신박사빌딩 1층일부),서울 마포구 동교로46길,3982,오이삼,I,2018.8.31 23:59,양식
1,영업/정상,영업,23344904,121868,서울특별시 마포구 연남동 487-226,서울특별시 마포구 성미산로17길 104 (연남동 1층 일부),서울 마포구 성미산로17길,3974,오이소순대국 연남본점,U,2019.11.2 0:03,한식
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 331-12번지 ,서울특별시 마포구 어울마당로 136-5 (서교동 1층),서울 마포구 어울마당로,4053,오이시나베,U,2018.12.6 2:40,정종/대포집/소주방
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 147-28 지1층,서울특별시 마포구 연희로1길 15 (동교동 지1층),서울 마포구 연희로1길,3985,오이지 연남점,U,2021.11.30 23:03,한식
1,영업/정상,영업,27499457,121803,서울특별시 마포구 공덕동 242-46번지 1층 ,서울특별시 마포구 마포대로12길 37 (공덕동1층),서울 마포구 마포대로12길,4211,오자네왔는가,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 395-171번지 ,서울특별시 마포구 양화로10길 15 (서교동 1층일부),서울 마포구 양화로10길,4043,오자와,U,2019.11.30 2:40,일식
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 414-108번지 ,서울특별시 마포구 포은로6길 25 (망원동 1층일부),서울 마포구 포은로6길,4011,오지개,I,2018.8.31 23:59,분식
1,영업/정상,영업,23346003,121893,서울특별시 마포구 서교동 370-26번지 ,서울특별시 마포구 홍익로5길 43 (서교동 1층),서울 마포구 홍익로5길,4039,홍대수산 오징어이야기,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 41-10,서울특별시 마포구 월드컵북로50길 9 1층 (상암동),서울 마포구 월드컵북로50길,3927,오카야,U,2020.12.4 22:00,일식
1,영업/정상,영업,,,,서울특별시 마포구 연희로1길 55 2층 (연남동),서울 마포구 연희로1길,3982,오카에리,I,2018.8.31 23:59,일식
1,영업/정상,영업,23142323,121893,서울특별시 마포구 서교동 369-7번지 2층 ,서울특별시 마포구 잔다리로6길 35 (서교동2층),서울 마포구 잔다리로6길,4039,오케이포차 홍대점,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121851,서울특별시 마포구 신공덕동 5-27번지 ,서울특별시 마포구 만리재옛길 32 지상1층 101호 (신공덕동),서울 마포구 만리재옛길,4209,오타루,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 330-9 1층 일부,서울특별시 마포구 와우산로 28 (상수동1층 일부),서울 마포구 와우산로,4075,오토노,U,2020.12.7 0:07,호프/통닭
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 402-14 경일빌딩,서울특별시 마포구 독막로9길 14 경일빌딩 2층 (서교동),서울 마포구 독막로9길,4048,오프더월,I,2020.11.2 0:08,기타
1,영업/정상,영업,,121897,서울특별시 마포구 합정동 371-26번지 1층일부(우측) ,서울특별시 마포구 성지길 35 1층일부 (합정동),서울 마포구 성지길,4071,오프모먼트,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 229-64,서울특별시 마포구 동교로 253 4층 401호 (연남동),서울 마포구 동교로,3983,오픈엔디드,I,2021.12.1 22:07,기타
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 467 롯데캐슬프레지던트,서울특별시 마포구 마포대로 109 제지1층 제비114호 (공덕동 롯데캐슬프레지던트),서울 마포구 마포대로,4146,오한수우육면가,I,2020.12.6 22:02,한식
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1580 DMC첨단산업센터,서울특별시 마포구 성암로 330 DMC첨단산업센터 지1층 B106호 (상암동),서울 마포구 성암로,3920,오한수우육면가,I,2020.11.1 22:09,한식
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 173 삼창프라자 지1층 2425호,서울특별시 마포구 마포대로 63-8 지1층 24252626-1호 (도화동 삼창프라자),서울 마포구 마포대로,4157,오한수우육면가 마포삼창점,U,2019.12.8 23:03,한식
1,영업/정상,영업,23242209,121807,서울특별시 마포구 노고산동 56-29,서울특별시 마포구 신촌로14길 32 1층 (노고산동),서울 마포구 신촌로14길,4057,옥돌구이,U,2020.12.5 23:07,한식
1,영업/정상,영업,,121839,서울특별시 마포구 서교동 385-6번지 ,서울특별시 마포구 양화로7길 44-10 (서교동 지하 001호),서울 마포구 양화로7길,4035,옥동식 서교점,I,2018.8.31 23:59,한식
1,영업/정상,영업,2231434785,121895,서울특별시 마포구 서교동 411-2번지 2층 ,서울특별시 마포구 와우산로13길 2 (서교동2층),서울 마포구 와우산로13길,4049,옥상달빛치킨 본점,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121904,서울특별시 마포구 상암동 1615 PARK M,서울특별시 마포구 매봉산로 80 PARK M 1층 9호 (상암동),서울 마포구 매봉산로,3927,옥소반 상암점,U,2020.12.5 0:02,기타
1,영업/정상,영업,,121842,서울특별시 마포구 서교동 465-9,서울특별시 마포구 잔다리로 74 1층 (서교동),서울 마포구 잔다리로,4030,옥순,I,2019.12.7 22:09,한식
1,영업/정상,영업,23364872,121897,서울특별시 마포구 합정동 372-32번지 ,서울특별시 마포구 성지1길 12 (합정동),서울 마포구 성지1길,4071,옥이네 생선구이전문점,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 41-6번지 ,서울특별시 마포구 월드컵북로50길 14 1층 (상암동),서울 마포구 월드컵북로50길,3927,옥이포차,I,2019.7.12 2:21,기타
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 241-42,서울특별시 마포구 성미산로29길 40-15 1층 (연남동),서울 마포구 성미산로29길,3980,옥자,U,2020.12.6 22:09,한식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 3-5,서울특별시 마포구 성암로 225-1 1층 (상암동),서울 마포구 성암로,3927,옥자별관,I,2020.10.31 23:07,일식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 2-29번지 1층 ,서울특별시 마포구 성암로 219-6 1층 (상암동),서울 마포구 성암로,3927,옥자회관,U,2019.3.7 2:40,일식
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 93-21번지 1층 ,서울특별시 마포구 신수로 106 (신수동1층),서울 마포구 신수로,4094,평양옥정,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121803,서울특별시 마포구 공덕동 256-5번지 ,서울특별시 마포구 마포대로6길 16 (공덕동 1층29호 일부),서울 마포구 마포대로6길,4214,옥천올갱이국,U,2019.7.11 2:40,분식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 396-58,서울특별시 마포구 양화로6길 57-5 2층 (서교동),서울 마포구 양화로6길,4047,옥탑문,U,2021.12.2 0:08,기타
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 404-8번지 3층 ,서울특별시 마포구 독막로9길 43 3층 (서교동),서울 마포구 독막로9길,4048,옥탑방부엉이,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121795,서울특별시 마포구 상암동 1605 누리꿈스퀘어,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 지1층 1085호 (상암동),서울 마포구 월드컵북로,3925,옥합콩국수,I,2019.11.1 23:08,한식
