영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121839,서울특별시 마포구 서교동 481-5번지 ,서울특별시 마포구 양화로7길 84 1층 (서교동),서울 마포구 양화로7길,4029,평이담백뼈칼국수,U,2019.7.4 2:40,경양식
1,영업/정상,영업,,121859,서울특별시 마포구 아현동 326-6 1층일부,서울특별시 마포구 마포대로21길 67 (아현동 1층일부),서울 마포구 마포대로21길,4116,평창막국수,U,2020.12.5 0:06,한식
1,영업/정상,영업,27131371,121130,서울특별시 마포구 구수동 13-2번지 1층 ,서울특별시 마포구 독막로 176-12 (구수동1층),서울 마포구 독막로,4087,평창버섯매운칼국수,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-41,서울특별시 마포구 동교로 254-1 1층 (연남동),서울 마포구 동교로,3982,평화연남,I,2020.12.3 22:03,한식
1,영업/정상,영업,27162811,121812,서울특별시 마포구 도화동 38-1번지 ,서울특별시 마포구 새창로 18-1 (도화동),서울 마포구 새창로,4169,평화장,I,2018.8.31 23:59,중국식
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 394-25번지 동양한강트레벨 ,서울특별시 마포구 양화로 56 동양한강트레벨 지1층 B103호 (서교동),서울 마포구 양화로,4045,포만감,U,2019.4.3 2:40,기타
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 395-28,서울특별시 마포구 독막로3길 29 1층 (서교동),서울 마포구 독막로3길,4044,포36거리 홍대점,I,2019.10.31 0:09,기타
1,영업/정상,영업,,121795,서울특별시 마포구 상암동 1605 누리꿈스퀘어 B1016일부,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 B1016일부 (상암동),서울 마포구 월드컵북로,3925,포가츠,U,2019.11.2 0:02,기타
1,영업/정상,영업,,121846,서울특별시 마포구 성산동 226-2번지 ,서울특별시 마포구 성미산로 86 2층 (성산동),서울 마포구 성미산로,3986,포냐향,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121826,서울특별시 마포구 망원동 475-30 C.M빌딩,서울특별시 마포구 포은로 142 C.M빌딩 1층 (망원동),서울 마포구 포은로,3964,포도당,I,2019.10.30 22:02,기타
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-7,서울특별시 마포구 동교로 266-7 지1층 (연남동),서울 마포구 동교로,3982,포도알,I,2019.12.6 22:03,기타
1,영업/정상,영업,,121809,서울특별시 마포구 대흥동 150-1번지 ,서울특별시 마포구 백범로 101 지하1층 (대흥동),서울 마포구 백범로,4136,포라임 숙대점,U,2019.2.14 2:40,경양식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 387-19번지 ,서울특별시 마포구 동교로46길 7 1층 (연남동),서울 마포구 동교로46길,3982,포레스트,U,2020.4.24 2:40,외국음식전문점(인도태국등)
1,영업/정상,영업,,121888,서울특별시 마포구 합정동 472번지 ,서울특별시 마포구 월드컵로1길 14 (합정동 마포한강푸르지오 B113-3호),서울 마포구 월드컵로1길,4024,포로이 합정점,I,2018.8.31 23:59,외국음식전문점(인도태국등)
1,영업/정상,영업,27021095,121874,서울특별시 마포구 염리동 168-9번지 재화스퀘어 B111호 ,서울특별시 마포구 독막로 311 (염리동 재화스퀘어 B111호),서울 마포구 독막로,4156,포로이 마포점,U,2019.1.2 2:40,외국음식전문점(인도태국등)
1,영업/정상,영업,,121809,서울특별시 마포구 대흥동 241-40,서울특별시 마포구 백범로16안길 31 지층 (대흥동),서울 마포구 백범로16안길,4149,포루,I,2020.11.2 0:01,기타
1,영업/정상,영업,27045494,121784,서울특별시 마포구 도화동 559번지 마포트라팰리스 상가 204호 ,서울특별시 마포구 마포대로 53 (도화동마포트라팰리스 상가 204호),서울 마포구 마포대로,4158,포메인 마포점,I,2018.8.31 23:59,경양식
1,영업/정상,영업,23262001,121837,서울특별시 마포구 서교동 345-6번지 ,서울특별시 마포구 어울마당로 116 2층 (서교동),서울 마포구 어울마당로,4055,포몬스 홍대점,I,2018.8.31 23:59,한식
1,영업/정상,영업,2231417392,121838,서울특별시 마포구 서교동 358-71번지 ,서울특별시 마포구 홍익로 3-5 (서교동 1층),서울 마포구 홍익로,4040,포보 홍대점,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121919,서울특별시 마포구 서교동 490번지 메세나폴리스 ,서울특별시 마포구 양화로 45 제몰동 제지층 제비1113호 (서교동 메세나폴리스),서울 마포구 양화로,4036,포삼팔 메세나폴리스점,I,2018.8.31 23:59,기타
1,영업/정상,영업,,121230,서울특별시 마포구 망원동 521 마포한강아이파크,서울특별시 마포구 희우정로 77 지1층 106호 (망원동 마포한강아이파크),서울 마포구 희우정로,4016,포썸,U,2020.12.5 21:00,기타
