영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121886,서울특별시 마포구 합정동 391-5번지 ,서울특별시 마포구 포은로2나길 44 지1층 (합정동),서울 마포구 포은로2나길,4026,묘한식탁,I,2019.12.11 0:23,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 390-51 태주빌딩,서울특별시 마포구 동교로 242-13 태주빌딩 1층 101호 (연남동),서울 마포구 동교로,3982,무겐스위치,I,2021.12.1 22:05,일식
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 411-20,서울특별시 마포구 포은로 100 1층 (망원동),서울 마포구 포은로,4010,무계획,U,2020.12.5 22:06,기타
1,영업/정상,영업,27164296,121803,서울특별시 마포구 공덕동 256-21번지 ,서울특별시 마포구 만리재로1길 8 (공덕동),서울 마포구 만리재로1길,4214,무공해숯불갈비,I,2018.8.31 23:59,한식
1,영업/정상,영업,231423379,121885,서울특별시 마포구 합정동 388-22번지 1층 ,서울특별시 마포구 월드컵로3길 31-38 (합정동1층),서울 마포구 월드컵로3길,4025,무교동낙지,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121898,서울특별시 마포구 동교동 158-8,서울특별시 마포구 월드컵북로2길 29 (동교동),서울 마포구 월드컵북로2길,3995,무교동원진낙지,U,2020.11.30 22:09,한식
1,영업/정상,영업,,121859,서울특별시 마포구 아현동 330-4번지 ,서울특별시 마포구 신촌로 264 1층 (아현동),서울 마포구 신촌로,4116,무국식탁편백집,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 396-61 동궁빌리지,서울특별시 마포구 양화로6길 57-13 지1층 (서교동 동궁빌리지),서울 마포구 양화로6길,4047,무니 2호점,U,2021.12.1 0:01,한식
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 394-78,서울특별시 마포구 양화로8길 32-15 1층 (서교동),서울 마포구 양화로8길,4044,무니,U,2019.10.31 22:00,일식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 33-1,서울특별시 마포구 월드컵북로44길 33 1층 (상암동),서울 마포구 월드컵북로44길,3930,무다이,I,2021.11.30 22:01,일식
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 357-7번지 ,서울특별시 마포구 토정로5길 12 (합정동 1층),서울 마포구 토정로5길,4073,무대륙,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 223-93번지 지1층 ,서울특별시 마포구 성미산로29안길 26 (연남동 지1층),서울 마포구 성미산로29안길,3980,무디,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,2269398321,121904,서울특별시 마포구 상암동 1652번지 KBS미디어센타 1층일부 ,서울특별시 마포구 매봉산로 45 (상암동 KBS미디어센타 1층일부),서울 마포구 매봉산로,3909,무띠상암,I,2018.8.31 23:59,까페
1,영업/정상,영업,,121845,서울특별시 마포구 성산동 165-2번지 ,서울특별시 마포구 월드컵북로 198-4 1층 (성산동),서울 마포구 월드컵북로,3946,무리울 감자탕,I,2019.10.9 0:22,기타
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 260-52번지 지하1층 ,서울특별시 마포구 동교로32길 3 (연남동 지하1층),서울 마포구 동교로32길,3985,무명요리사,U,2018.10.31 2:37,정종/대포집/소주방
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 329-7번지 안생빌딩 1층 ,서울특별시 마포구 와우산로 30 (상수동안생빌딩 1층),서울 마포구 와우산로,4075,무명집,U,2020.1.5 2:40,정종/대포집/소주방
1,영업/정상,영업,,121859,서울특별시 마포구 아현동 327-29 마이비움 아현,서울특별시 마포구 굴레방로 27-2 마이비움 아현 1층 (아현동),서울 마포구 굴레방로,4116,무모한 초밥,U,2020.12.4 22:01,일식
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 153-30,서울특별시 마포구 양화로21길 29 2층 (동교동),서울 마포구 양화로21길,3994,무무닭갈비,I,2020.12.8 23:08,한식
1,영업/정상,영업,,121803,서울특별시 마포구 공덕동 249-53번지 ,서울특별시 마포구 마포대로12길 50 1층 (공덕동),서울 마포구 마포대로12길,4211,무삼면옥,I,2018.8.31 23:59,한식
1,영업/정상,영업,23342984,121817,서울특별시 마포구 동교동 164-9번지 2층 3층 ,서울특별시 마포구 어울마당로 127-1 (동교동2층 3층),서울 마포구 어울마당로,4050,무세이,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 377-1 마포로얄프라자,서울특별시 마포구 월드컵로 87 마포로얄프라자 1층 107 108호 (망원동),서울 마포구 월드컵로,4012,무세이키친,U,2020.12.7 22:07,한식
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-123,서울특별시 마포구 와우산로21길 20-5 (서교동 1층일부),서울 마포구 와우산로21길,4040,무쇠김치삼겹,U,2019.12.8 23:08,한식
1,영업/정상,영업,232725749,121803,서울특별시 마포구 공덕동 249-50번지 지상2층 ,서울특별시 마포구 마포대로8안길 18 (공덕동지상2층),서울 마포구 마포대로8안길,4211,무쇠솥부대찌개,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121841,서울특별시 마포구 서교동 451-3번지 ,서울특별시 마포구 동교로17길 28 (서교동 1층),서울 마포구 동교로17길,4002,무슈,I,2018.8.31 23:59,까페
1,영업/정상,영업,23384731,121817,서울특별시 마포구 동교동 164-6,서울특별시 마포구 어울마당로 131 지층 (동교동),서울 마포구 어울마당로,4050,무쏘 홍대입구역점,U,2020.11.30 23:05,한식
1,영업/정상,영업,,121886,서울특별시 마포구 합정동 392-3번지 ,서울특별시 마포구 포은로2가길 65 B동 1층 (합정동 일부),서울 마포구 포은로2가길,4026,무안식당,U,2019.7.13 2:40,한식
1,영업/정상,영업,23338993,121854,서울특별시 마포구 신수동 68-15번지 B동 105호 ,서울특별시 마포구 창전로 94 B동 105호 (신수동),서울 마포구 창전로,4094,무영식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 390-77번지 ,서울특별시 마포구 동교로38길 20 지층 101호 (연남동),서울 마포구 동교로38길,3982,무원지,I,2020.2.19 0:23,기타
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-2번지 ,서울특별시 마포구 성미산로 190-4 1층일부 (연남동),서울 마포구 성미산로,3982,무유,I,2019.6.27 2:21,기타
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 345-2번지 3층 ,서울특별시 마포구 어울마당로 118 3층 (서교동),서울 마포구 어울마당로,4055,무제한,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 2-304번지 ,서울특별시 마포구 성암로 229 (상암동 1층),서울 마포구 성암로,3927,무진갈비,U,2019.5.5 2:40,한식
1,영업/정상,영업,25168288,121895,서울특별시 마포구 서교동 408-18 스페이스빌딩,서울특별시 마포구 와우산로17길 19-24 스페이스빌딩 1층 (서교동),서울 마포구 와우산로17길,4049,무진장,U,2020.12.1 22:08,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 381-15,서울특별시 마포구 동교로32길 19 3층 (연남동),서울 마포구 동교로32길,3985,무채색,I,2020.11.2 0:02,한식
