영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,,121843,서울특별시 마포구 성산동 608-13,서울특별시 마포구 연남로11길 44 1층 102호 (성산동),서울 마포구 연남로11길,3974,비스트로피자 마포점,U,2020.12.7 23:05,기타,
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 324-1,서울특별시 마포구 독막로 76-1 1층 4호 (상수동),서울 마포구 독막로,4074,비스트로해선,U,2020.12.4 22:08,기타,
1,영업/정상,영업,,121899,서울특별시 마포구 동교동 189-5,서울특별시 마포구 와우산로37길 11 1층 (동교동),서울 마포구 와우산로37길,4056,비아토르,U,2020.12.1 23:00,한식,
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 387-45,서울특별시 마포구 동교로46길 10 2층 202호 (연남동),서울 마포구 동교로46길,3982,비아톨레도파스타바,U,2020.12.7 23:05,경양식,
1,영업/정상,영업,,121821,서울특별시 마포구 망원동 394-92번지 ,서울특별시 마포구 동교로 37 2층일부층 (망원동),서울 마포구 동교로,4017,비어트립,I,2018.10.4 2:37,기타,
1,영업/정상,영업,23376890,121893,서울특별시 마포구 서교동 366-19번지 지1층 ,서울특별시 마포구 어울마당로 75 (서교동지1층),서울 마포구 어울마당로,4042,비어홀릭 홍대피카소점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,,121850,서울특별시 마포구 성산동 590-5번지 상암 월드시티 1동 105호,서울특별시 마포구 월드컵로34길 13 상암 월드시티 1동 105호 (성산동),서울 마포구 월드컵로34길,3938,비에또(beato),I,2018.11.18 2:37,기타,
1,영업/정상,영업,,121050,서울특별시 마포구 마포동 33-1번지 ,서울특별시 마포구 마포대로 25 신한디엠빌딩 1층 102호 (마포동),서울 마포구 마포대로,4167,비엔나커피하우스 마포신한디엠점,I,2018.8.31 23:59,기타,
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1592 팬엔터테인먼트 사옥,서울특별시 마포구 월드컵북로58길 10 팬엔터테인먼트 사옥 1층 101102호 (상암동),서울 마포구 월드컵북로58길,3923,비엔나커피하우스협동조합 상암팬엔터점,U,2020.12.8 0:01,기타,
1,영업/정상,영업,,121919,서울특별시 마포구 서교동 490 메세나폴리스,서울특별시 마포구 양화로 45 몰동 1층 147호 (서교동 메세나폴리스),서울 마포구 양화로,4036,비일구일구 서울,I,2021.11.30 22:09,경양식,
1,영업/정상,영업,232720086,121801,서울특별시 마포구 공덕동 105-63,서울특별시 마포구 마포대로14길 17 (공덕동 1층),서울 마포구 마포대로14길,4207,비진도김선장,U,2019.12.8 0:02,한식,
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 345-1번지 ,서울특별시 마포구 어울마당로 120 (서교동 2층),서울 마포구 어울마당로,4055,비츠비츠,U,2020.5.1 2:40,까페,
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-96번지 포도빌딩 ,서울특별시 마포구 홍익로 3-30 포도빌딩 지1층 (서교동),서울 마포구 홍익로,4040,비터스,U,2019.9.13 2:40,기타,
1,영업/정상,영업,221356795,121801,서울특별시 마포구 공덕동 105-67번지 ,서울특별시 마포구 마포대로14길 4 1층 (공덕동),서울 마포구 마포대로14길,4211,비파티세리 공덕점,I,2020.1.5 0:23,기타,
